"id","text"
"user_1","I make designs I think are cool and sell them. https://t.co/SQTmG3qZXg"
"user_2","R&B/Soul Artist"
"user_3","Laram"
"user_4","Impact VC @Educapital"
"user_5","KE DI LOKOLLA MOLOKOLOKO WA MALEKELEKENG KGAFEKGAFE SENTSOKELA MOTSHAOTSHELE..YHOOOO..😂😂😂😂😂👏👏👏"
"user_6","🏹The real owner of India
      Jay Johar🏹"
"user_7","subpar human • su23’ • she/they"
"user_8","Am humbled and trusted somebody, I hate violence."
"user_9","A girl should be 2 things... classy & fabulous             ~Coco Chanel"
"user_10","United we stand, divided we fall."
"user_11","😎"
"user_12","Cansada"
"user_13","21 y.o. and just chillin

10/16/1999 ;DDD"
"user_14","CPA,LLB  currently Finance Manager in an Investment Company , 21+ years of Cross Industry Experience including Real Estates"
"user_15","Silence is m motivation"
"user_16","Lawyer"
"user_17","Strategist, Army Veteran, Historian, Ragdoll Cat Dad, Political Activist, Change Management Expert, Anti-Fascist, Pro-Democracy #ProudBlue22 #FreshResists💙🐈"
"user_18","Soy 
#Filántropo_Investigador
#Artesano  Músico_jazz-drums_filosofo.
independependientemente_Nato."
"user_19","Elementary school media specialist reaching out to the library community looking for creative ideas to get kids excited about learning ❤📚💡"
"user_20","My name is sort of Geoff."
"user_21","dog"
"user_22","🐠Just tryin to spread the love 🐠"
"user_23","good karma my aesthetic"
"user_24","Allahuma sali ha'ala seydina mouhamedine wa salime🤍"
"user_25","As a Congressional Communications Director, I follow all things politics, policy and the press. Tweets reflect my views only."
"user_26","اِحمد ربنا لوْ لسه بتقِيس قراراتَك بمقيَاس الحلَال والحرَام ! 🖤"
"user_27","99’ | from 🇵🇱 | my dog is my best friend"
"user_28","Indian Muslim"
"user_29","Members of BJP"
"user_30","Plus vous accéderez à votre intuition, á votre guidance supérieure et plus vous serez fort, confiant et heureux."
"user_31","Menjadi yang terbaik"
"user_32","News and Events that help form the Digital Evolution."
"user_33","Founder | Designer | Creative Director @poshology ~Poshology®"
"user_34","🥰"
"user_35","♡Lucky ♡


♡Seipati ♡


💍16 October 💍


❤Foodie 🍟🍔🍧

🥰❣🎶🎶🎧Music 🎧🎼🎵🎶"
"user_36","👑🎓"
"user_37","ภาพยนตร์ ดนตรี อาหาร"
"user_38","views are personal). و قولوا للناس حسناََ. یا حی یا قیوم"
"user_39","i love my  family all  time  day in nigth"
"user_40","Real-estate Agent"
"user_41","..."
"user_42","Director of Teaching & Learning"
"user_43","Speaking on behalf of myself"
"user_44","ProDj / Radio and TV entertaining DJ , hotelier and events director"
"user_45","niazi"
"user_46","me"
